,x,y,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
99,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,8,,,,,,,,,n46 s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n49 s49,,e0 w0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,6,8,,,,,,,,,,,,,,,,,,,e3 w3,,,,,,,,,,,,,,,,,,,e75 w75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0 w0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,7,8,,,,,,,,,,,,,,,,,,,e3 w3,,,n37 s37,n43 s43 n43 s43,,n61 s61,,n93 s93,,n68 s68 n68 s68,,n36 s36,,,,,,,e75 w75,,,,,,,n45 s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0 w0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,8,8,,,,,,,,,,,,,,,,,,n19 s19,e3 w3,e47 w47 e47 w47,e86 w86 e86 w86 e86 w86,,,e71 w71,,n75 s75,,,,e14 w14,,e94 w94,n94 s94,,,,,e75 w75,,n47 s47,,n43 s43,n37 s37,,,,n85 s85,n91 s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n79 s79,n87 s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,9,8,,,,,,,,,,,,,,,,,,,n37 s37,e47 w47 e47 w47,e86 w86 e86 w86 e86 w86,,,e71 w71,,,,n29 s29,,e14 w14,,e94 w94,,,,,e89 w89 e89 w89,,,,e97 w97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n57 s57 n57 s57,n63 s63,,,,,,,,,,n45 s45,,,e41 w41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10,8,,,,,,,,,,,,,,,,,,,,n26 s26,,,,n58 s58,,,,,,,,,,,,,n82 s82,,,,,,,,,,,n42 s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n18 s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n16 s16,,,n56 s56,,,n64 s64,n72 s72,n32 s32,,n80 s80,,n24 s24,n30 s30,,n88 s88,,n73 s73,n18,,,n31 s31,n82,n75,e21 n74,n5 s5,n40 s40,,e61 n26,n42,n8 s8,n94 s94,e92,n98
109,1,9,,,,,,,,,e43 w43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e56 w56,,,n19 s19,e64 w64,,,n27 s27 w21,,n7 s7,n44,w61,,n9 s9,n47 s47,w92 n12,
110,2,9,,,,,,,,,e43 w43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e69 w69 n14,e85 w85,,,,e45 w45 n38,,,,e77 w77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e56 w56 n30,,,e68 w68,e64 w64,,,,,,,,,,,,
111,3,9,,,,,,,,,e43 w43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e69 w69,e85 w85 n32,,,,e45 w45,,,,e77 w77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e68 w68 n8,n40,,,,,,,,,,,,
112,4,9,,,,,,,,,n46 s46,,,,,,,,,,,,,,,,,,,,e1 w1,,,,,,,,,,,,,,,,,,,,e57 w57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e69 w69,e85 w85,n67,,,e45 w45,n18,,,e77 w77,n97 s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e68 w68,,,,,,,,,,,,,
113,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e1 w1,,,,,e67 w67,,,,,e43 w43,,,,,,,,,,e57 w57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n45,,,,,n11 s11,,e74 w74,,n21,,,,n49 s49,,n2 s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e1 w1,,,,,e67 w67,e45 w45,,,,e43 w43,,e61 w61,,,e69 w69,,e21 w21,,,e57 w57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e74 w74 n70,,e28 w28,,,,e60 w60 n14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,7,9,,,,,,,,,,,,,,,,,,,,,,n37 s37,n43 s43 n43 s43,,n61 s61,,n93 s93,,n68 s68 n68 s68,,n36 s36,,,e67 w67,e45 w45,n63 s63,,,e43 w43,,e61 w61,,,e69 w69,n45 s45,e21 w21,,,n86 s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e74 w74,,e28 w28 n24,,,,e60 w60,,,,,,,,,,,,,,,,,,,,,,e55 w55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,8,9,,,,,,,,,,,,,,,,,,,,,n56 s56 n56 s56,,,,,,,,,,,,n94 s94,,e45 w45,,n80 s80,,n67 n67,n47 s47,e61 w61,n43 n43,n37 s37,e69 w69,,e21 w21,n85 s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e28 w28,,,,e60 w60,,,,,n81 s81,n25 s25,n91,n35,,,,,,,,n89 s89 n89 s89,n57 s57,n79 s79,n87 s87,,e89 w89,e55 w55,,e73 w73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,e74 w74,,,,,,e67 w67 e67 w67,n61 n61,,,,,,e61,,n37,n82 s82,,n98 s98,n85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e10 w10,n21,,n51 s51,n35 s35,n57 s57 n57 s57,n63 s63,,,,,,,,,,n45 n45,e89 w89,e55 w55,,e73 w73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,10,9,,,,,,,,,,,,,,,,,,,,n26 s26,,,,n58 s58,,,,,,,,,,n13 s13,,,n82 s82,,,,n21 s21 w61 n21 s21,,,,,,,n42 s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n55,n36 s36,n18 s18,n60 s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s18 e78,,,,s82 e14,e23 s75,s74 e22,,e38,e95,s26 e70,s42 e54,e46,,e63,s98
121,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e41 w41,e81 w81,,e75 w75,e57 w57,,,,e89 w89,,e17 w17,,,e1 w1,,e49 w49,e25 w25,w78,e10 w10,e43 w43,e67 w67,w14,w23,w22,,w38,s44 w95,w70,w54,w46,,s12 w63,
122,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e47 w47,e95 w95,,,,,e79 w79,e31 w31,,,s14,,,,,s38,,e71 w71,,e6 w6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e75 w75,,,,,,,,,,,,,s30,,e10 w10,e43 w43,e67 w67,,,,,,,,,,,,
123,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e47 w47,e95 w95,,,e41 w41,,e79 w79,e31 w31,e89 w89,,e32 w32,s32,e81 w81,,,e40 w40,,e71 w71,e65 w65,e6 w6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s8,s40,,,,,,,,,,,,
124,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e2 w2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e90 w90,e47 w47,e95 w95,,e18 w18,e41 w41,,e79 w79,e31 w31,e89 w89,e58 w58,e32 w32,e66 w66,s67 e81 w81,,e3 w3,e40 w40,s18,e71 w71,e65 w65,e6 w6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e13 w13,,,,,,,,,e37 w37,,,,e2 w2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e90 w90,,,e92 w92,e18 w18,e41 w41,e28 w28 s45,,,e89 w89,e58 w58,e32 w32,e66 w66,e81 w81,e20 w20,s21 e3 w3,e40 w40,e12 w12,,e65 w65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6,10,,,,,,,,,,,,,,,,,,,,,,e47 w47,,,e15 w15,,,,,,,,,,,e13 w13,,,,,,,,,e37 w37,,,,e2 w2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e90 w90,,,e92 w92,e18 w18,,e28 w28,,,,e58 w58,,e66 w66,s70,e20 w20,e3 w3,,e12 w12,,s14,,e78 w78,,,,,,,,,,,,,,,e23 w23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,7,10,,,,,,,,,,,,,,,,,,,,,,e47 w47,e24 w24,,e15 w15,,,,,,,,,,,e13 w13,,,,e32 w32,,,,,e37 w37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e92 w92,,,e28 w28,,,,,,,,e20 w20,s24,,e12 w12,,,,e78 w78,,,,,,,,,,,,,,,e23 w23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,8,10,,,,,,,,,,,,,,,,,,,,,,e47 w47,e24 w24,,e15 w15,,,,,,,,,,e50 w50,,,,e58 w58 s67 s67,e32 w32,,e26 w26 s43 s43,e18 w18 e18 w18,,,,e82 w82 e82 w82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e78 w78,,,,e2 w2 e2 w2,s91,e51 w51 e51 w51 s35,,,,e11 w11,,,,,e23 w23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,9,10,,,,,,,,,,,,,,,,,,,,,,,e24 w24,,,,,,,,,,,,e50 w50 s61 s61,,,,e58 w58,e32 w32,,e26 w26,e18 w18 e18 w18 s37,,,,e82 w82 e82 w82 s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e84 w84,,e69 w69 e69 w69 s21,e2 w2 e2 w2,e29 w29 e29 w29,e51 w51 e51 w51,e44 w44,e52 w52 e52 w52,e60 w60,e11 w11,e12 w12,e5 w5,e68 w68,e37 w37,e36 w36,e77 w77 e77 w77,e45 w45 e45 w45,e28 w28 s45 s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
